monthData,PE_total
1977/12/1,23.57782376
1978/1/1,24.7536055
1978/2/1,40.12999766
1978/3/1,62.33748767
1978/4/1,82.85388192
1978/5/1,99.89939327
1978/6/1,108.5211181
1978/7/1,122.7463242
1978/8/1,101.9421753
1978/9/1,72.03294831
1978/10/1,63.62958926
1978/11/1,30.64674386
1978/12/1,33.04336794
1979/1/1,38.98227189
1979/2/1,35.5482214
1979/3/1,69.05825182
1979/4/1,108.1871621
1979/5/1,136.7283864
1979/6/1,119.3774779
1979/7/1,104.2995701
1979/8/1,101.9562189
1979/9/1,70.52845778
1979/10/1,57.45942974
1979/11/1,47.14791807
1979/12/1,24.99326469
1980/1/1,27.91401903
1980/2/1,40.45131947
1980/3/1,72.3846131
1980/4/1,102.1520358
1980/5/1,121.3095988
1980/6/1,99.29233042
1980/7/1,100.2629195
1980/8/1,88.66024052
1980/9/1,67.20352676
1980/10/1,48.09734292
1980/11/1,43.57006684
1980/12/1,39.26778158
1981/1/1,28.05551814
1981/2/1,47.85926048
1981/3/1,57.56657442
1981/4/1,76.17474736
1981/5/1,105.1261865
1981/6/1,105.4529619
1981/7/1,104.2764091
1981/8/1,101.8978815
1981/9/1,68.87822564
1981/10/1,77.39444908
1981/11/1,39.09629171
1981/12/1,30.1069233
1982/1/1,41.23889832
1982/2/1,32.83779664
1982/3/1,63.40038219
1982/4/1,76.63743522
1982/5/1,100.9071275
1982/6/1,85.7802048
1982/7/1,100.5046774
1982/8/1,107.9132784
1982/9/1,65.67669799
1982/10/1,50.71666477
1982/11/1,37.12414817
1982/12/1,25.65785337
1983/1/1,20.97625794
1983/2/1,26.5260389
1983/3/1,53.73043806
1983/4/1,76.71315756
1983/5/1,96.4875669
1983/6/1,87.59240041
1983/7/1,94.17027454
1983/8/1,98.41812176
1983/9/1,80.10005697
1983/10/1,54.37668877
1983/11/1,36.72726851
1983/12/1,27.7197324
1984/1/1,26.79674806
1984/2/1,54.88673377
1984/3/1,79.91237286
1984/4/1,96.89489719
1984/5/1,97.48488456
1984/6/1,104.6335726
1984/7/1,87.43184108
1984/8/1,116.4921917
1984/9/1,83.79336718
1984/10/1,78.74982891
1984/11/1,40.14682315
1984/12/1,39.23506098
1985/1/1,29.14711531
1985/2/1,41.08177594
1985/3/1,67.71925714
1985/4/1,90.99368426
1985/5/1,104.5033768
1985/6/1,90.39140027
1985/7/1,105.8390732
1985/8/1,100.8196415
1985/9/1,60.82381027
1985/10/1,51.43741683
1985/11/1,26.61789188
1985/12/1,22.81400269
1986/1/1,24.03199736
1986/2/1,33.54086274
1986/3/1,59.93349539
1986/4/1,77.4846123
1986/5/1,98.41214041
1986/6/1,96.18939894
1986/7/1,115.338928
1986/8/1,92.94571104
1986/9/1,67.40314086
1986/10/1,55.76537045
1986/11/1,44.15512882
1986/12/1,28.46423842
1987/1/1,35.46742216
1987/2/1,44.5832063
1987/3/1,69.6778735
1987/4/1,84.48143995
1987/5/1,95.2956124
1987/6/1,110.3891886
1987/7/1,89.81682188
1987/8/1,95.99603886
1987/9/1,63.23910583
1987/10/1,61.9606957
1987/11/1,49.16010385
1987/12/1,35.41676441
1988/1/1,27.27378935
1988/2/1,48.7065154
1988/3/1,67.45227752
1988/4/1,91.76385395
1988/5/1,103.6058861
1988/6/1,103.0619259
1988/7/1,108.097411
1988/8/1,95.02619902
1988/9/1,64.8523348
1988/10/1,68.31796806
1988/11/1,37.66291391
1988/12/1,35.83449879
1989/1/1,29.65080151
1989/2/1,34.34479471
1989/3/1,66.15682772
1989/4/1,69.85699314
1989/5/1,97.47757401
1989/6/1,82.81945342
1989/7/1,92.59655563
1989/8/1,82.6542656
1989/9/1,68.90902484
1989/10/1,53.25665982
1989/11/1,35.9538045
1989/12/1,24.51433658
1990/1/1,36.83098877
1990/2/1,34.23448749
